ts,cpu_percent,cpu_percore,mem_total,mem_used,mem_available,mem_percent,disk_total,disk_used,disk_percent,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv,net_bytes_per_sec
2025-11-26T07:12:36.033545Z,14.3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]",21347119104,11681665024,9665454080,54.7,129746595840,84672831488,65.3,1033964,1564976,35721047552,29472449024,18531429,202809120,0.0
2025-11-26T07:12:41.090883Z,5.0,"[9.9, 6.4, 4.3, 4.3, 5.6, 2.8, 3.7, 2.8]",21347119104,11670671360,9676447744,54.7,129746595840,84672831488,65.3,1033964,1565062,35721047552,29473141248,18533317,202815689,1675.537477361897
2025-11-26T07:12:46.135510Z,5.8,"[8.5, 6.8, 8.0, 6.8, 4.6, 4.0, 4.3, 3.4]",21347119104,11655897088,9691222016,54.6,129746595840,84672831488,65.3,1033966,1565128,35721108992,29473595904,18537595,202829037,3503.2050748725665
2025-11-26T07:12:51.163307Z,7.6,"[12.2, 7.4, 12.9, 8.6, 7.7, 2.5, 6.2, 3.1]",21347119104,11697164288,9649954816,54.8,129746595840,84672835584,65.3,1033969,1565146,35721170432,29473972736,18538541,202836751,1726.5598781762062
2025-11-26T07:12:56.208603Z,8.4,"[11.1, 12.3, 13.3, 6.8, 7.7, 4.3, 6.8, 5.0]",21347119104,11674062848,9673056256,54.7,129746595840,84672835584,65.3,1033989,1565165,35721583104,29474173440,18539733,202851867,3238.7431113856123
2025-11-26T07:13:01.236901Z,5.6,"[7.3, 11.7, 5.3, 6.2, 7.4, 1.6, 4.0, 0.9]",21347119104,11664805888,9682313216,54.6,129746595840,84672835584,65.3,1033989,1565196,35721583104,29474402816,18542482,202866430,3450.4693491024273
2025-11-26T07:13:06.287962Z,8.6,"[12.1, 10.8, 11.1, 10.5, 7.4, 3.7, 6.5, 6.8]",21347119104,11669209088,9677910016,54.7,129746595840,84672835584,65.3,1033989,1565246,35721583104,29474677248,18547196,202886016,4822.389924465857
2025-11-26T07:13:11.319380Z,7.7,"[10.0, 12.7, 14.7, 3.1, 9.6, 3.1, 4.0, 4.3]",21347119104,11666612224,9680506880,54.7,129746595840,84672835584,65.3,1033994,1565270,35721648640,29475095040,18547725,202893800,1657.1008310158468
2025-11-26T07:13:16.341417Z,9.9,"[11.3, 15.8, 14.6, 6.9, 12.1, 5.3, 8.7, 4.3]",21347119104,11734020096,9613099008,55.0,129746595840,84672835584,65.3,1033999,1565280,35721732096,29475164672,18566471,202906006,6175.541199427514
2025-11-26T07:13:21.374512Z,17.4,"[21.3, 14.2, 26.0, 14.6, 21.5, 11.5, 18.6, 11.1]",21347119104,11845214208,9501904896,55.5,129746595840,84672835584,65.3,1034109,1565385,35729122304,29478535680,18657797,203036779,43948.11944547748
2025-11-26T07:13:26.416411Z,15.5,"[16.8, 17.2, 19.4, 15.8, 15.5, 6.8, 15.4, 17.0]",21347119104,11902029824,9445089280,55.8,129746595840,84672835584,65.3,1034258,1565475,35731866112,29479686656,18677066,203078197,12060.471043443185
2025-11-26T07:13:31.458244Z,19.8,"[18.5, 23.4, 27.3, 20.0, 26.0, 13.6, 17.6, 12.1]",21347119104,12088455168,9258663936,56.6,129746595840,84672835584,65.3,1034313,1565638,35734681088,29480763904,18739701,203200114,36706.77182139599
2025-11-26T07:13:36.483651Z,14.4,"[14.5, 11.2, 19.3, 10.5, 23.9, 13.0, 14.6, 8.1]",21347119104,11948789760,9398329344,56.0,129746595840,84672835584,65.3,1034458,1565760,35738173440,29481669120,18762849,203224023,9384.375672929784
2025-11-26T07:13:41.548400Z,34.0,"[32.4, 26.6, 51.2, 24.5, 42.1, 30.6, 38.5, 26.2]",21347119104,12404932608,8942186496,58.1,129746595840,84672835584,65.3,1040110,1565882,36087562240,29483618816,18775473,203245856,6816.76781593126
2025-11-26T07:13:46.601159Z,80.6,"[82.2, 69.0, 85.1, 72.6, 85.4, 84.2, 87.2, 79.1]",21347119104,12936929280,8410189824,60.6,129746595840,84672835584,65.3,1048144,1567862,36249334272,29501903360,18795567,203279145,10630.67294131142
2025-11-26T07:13:51.633153Z,79.1,"[76.8, 72.5, 83.7, 77.2, 80.4, 81.0, 81.8, 79.7]",21347119104,13065609216,8281509888,61.2,129746595840,84672835584,65.3,1056244,1571340,36338241024,29533442560,18811225,203307776,8827.799024188378
2025-11-26T07:13:56.667701Z,48.2,"[49.4, 40.6, 51.7, 43.0, 60.4, 44.4, 55.4, 40.1]",21347119104,13220626432,8126492672,61.9,129746595840,84672835584,65.3,1060493,1573677,36445924352,29682549248,18962950,207611591,887407.942118322
2025-11-26T07:14:01.710485Z,35.4,"[31.9, 25.2, 50.3, 25.1, 56.0, 26.6, 44.5, 23.5]",21347119104,13294129152,8052989952,62.3,129746595840,84672835584,65.3,1062839,1574113,36526360576,29686731264,18981565,207650337,11407.503959918933
2025-11-26T07:14:06.746377Z,20.1,"[18.0, 11.7, 34.4, 12.7, 29.8, 17.6, 23.9, 12.7]",21347119104,13352468480,7994650624,62.5,129746595840,84672839680,65.3,1065291,1574463,36586746368,29691691520,19018096,207836312,44298.411627413436
2025-11-26T07:14:11.795079Z,12.2,"[13.5, 5.3, 20.2, 12.4, 19.9, 7.5, 11.8, 6.5]",21347119104,13201960960,8145158144,61.8,129746595840,84672839680,65.3,1065850,1574703,36595204096,29693411840,19034671,207863077,8606.552356823217
2025-11-26T07:14:16.839498Z,16.9,"[22.0, 11.9, 21.4, 8.0, 18.7, 11.1, 25.8, 16.0]",21347119104,13304008704,8043110400,62.3,129746595840,84672839680,65.3,1068851,1575189,36667064320,29726491136,19966656,240703381,6710941.919990737
2025-11-26T07:14:21.876953Z,28.2,"[34.4, 30.5, 33.7, 20.6, 34.4, 23.6, 28.6, 19.2]",21347119104,13178454016,8168665088,61.7,129746595840,84672839680,65.3,1069428,1576129,36693717504,29799678464,20856388,270011396,6000963.13732613
2025-11-26T07:14:26.902746Z,19.6,"[24.5, 19.3, 29.4, 15.5, 22.7, 16.4, 17.4, 11.2]",21347119104,13129687040,8217432064,61.5,129746595840,84672839680,65.3,1069661,1576477,36700834816,29818888704,21244635,281162075,2284645.256039081
2025-11-26T07:14:31.936483Z,12.9,"[16.1, 10.2, 23.5, 11.1, 15.4, 8.0, 11.5, 7.7]",21347119104,13109796864,8237322240,61.4,129746595840,84672839680,65.3,1070698,1576584,36725351936,29822366208,21344055,283298307,443878.96448868356
2025-11-26T07:14:36.980912Z,17.8,"[20.2, 15.7, 21.9, 14.6, 23.1, 13.8, 21.3, 11.4]",21347119104,13116043264,8231075840,61.4,129746595840,84672839680,65.3,1071341,1576717,36741616640,29825106432,21425275,285094417,371903.8196848881
2025-11-26T07:14:42.013745Z,16.7,"[18.8, 16.2, 24.1, 12.9, 22.2, 12.7, 16.1, 10.2]",21347119104,13074632704,8272486400,61.2,129746595840,84672839680,65.3,1071811,1576976,36751412736,29849846272,21654660,289879610,997378.708709915
2025-11-26T07:14:47.076815Z,13.6,"[17.8, 13.3, 22.8, 8.0, 15.8, 12.9, 13.6, 5.0]",21347119104,13070692352,8276426752,61.2,129746595840,84672839680,65.3,1071818,1577118,36751875584,29855527424,21857203,294531204,959047.1773660285
2025-11-26T07:14:52.114650Z,12.1,"[14.8, 9.5, 16.4, 9.0, 21.8, 8.6, 11.1, 4.6]",21347119104,13066956800,8280162304,61.2,129746595840,84672839680,65.3,1071837,1577230,36752635392,29860266496,21971151,297212199,553574.1352233283
2025-11-26T07:14:57.141243Z,21.5,"[19.1, 10.0, 27.1, 19.9, 28.3, 21.1, 24.0, 22.4]",21347119104,13071405056,8275714048,61.2,129746595840,84672839680,65.3,1071893,1577355,36753961472,29865124352,22055878,298410413,254520.90510872155
